2;183
3;178
4;174
5;170
6;166
7;162
8;158
9;155
10;152
11;149
12;146
13;143
14;140
15;138
16;135
17;133
18;130
19;128
20;126
21;124
22;122
23;120
24;118
25;116
26;114
27;112
28;110
29;109
30;107
31;105
32;104
33;102
34;101
35;99
36;98
37;96
38;95
39;93
40;92
41;91
42;89
43;88
44;87
45;86
46;84
47;83
48;82
49;81
50;80
51;79
52;77
53;76
54;75
55;74
56;73
57;72
58;71
59;70
60;69
61;68
62;67
63;66
64;65
65;64
67;63
68;62
69;61
70;60
71;59
72;58
74;57
75;56
76;55
77;54
79;53
80;52
81;51
83;50
84;49
85;48
87;47
88;46
89;45
91;44
92;43
94;42
95;41
97;40
99;39
100;38
102;37
103;36
105;35
107;34
108;33
110;32
112;31
114;30
115;29
117;28
119;27
121;26
123;25
125;24
127;23
129;22
131;21
133;20
135;19
137;18
139;17
141;16
143;15
145;14
148;13
150;12
152;11
155;10
157;9
159;8
162;7
164;6
167;5
169;4
172;3
174;2
176;1
177;0
